,Zone,Shipping Class,,,˷,Currency,
Croatia,Zone A,small-light,,>99,0.00 ,USD,
Cyprus,Zone A,small-light,,>99,0.00 ,USD,
Czech Republic,Zone A,small-light,,>99,0.00 ,USD,
Denmark,Zone A,small-light,,>99,0.00 ,USD,
Estonia,Zone A,small-light,,>99,0.00 ,USD,
Finland,Zone A,small-light,,>99,0.00 ,USD,
Greece,Zone A,small-light,,>99,0.00 ,USD,
Hungary,Zone A,small-light,,>99,0.00 ,USD,
Ireland,Zone A,small-light,,>99,0.00 ,USD,
Latvia,Zone A,small-light,,>99,0.00 ,USD,
Lithuania,Zone A,small-light,,>99,0.00 ,USD,
Luxembourg,Zone A,small-light,,>99,0.00 ,USD,
Malta,Zone A,small-light,,>99,0.00 ,USD,
Monaco,Zone A,small-light,,>99,0.00 ,USD,
Romania,Zone A,small-light,,>99,0.00 ,USD,
Slovakia,Zone A,small-light,,>99,0.00 ,USD,
Slovenia,Zone A,small-light,,>99,0.00 ,USD,
Sweden,Zone A,small-light,,>99,0.00 ,USD,
Taiwan,Zone Asia,no-free-ship,,<50,3.16 ,USD,
Taiwan,Zone Asia,no-free-ship,,<100,3.38 ,USD,
Macao(China),Zone Asia,no-free-ship,,<50,3.46 ,USD,
Macao(China),Zone Asia,no-free-ship,,<100,3.97 ,USD,
Hong Kong,Zone Asia,no-free-ship,,<50,2.06 ,USD,
Hong Kong,Zone Asia,no-free-ship,,<100,2.21 ,USD,
Hong Kong,Zone Asia,small-light,,<39,6.00 ,USD,
Taiwan,Zone Asia,small-light,,<39,6.00 ,USD,
Macao(China),Zone Asia,small-light,,<39,6.00 ,USD,
Hong Kong,Zone Asia,small-light,,<79,3.00 ,USD,
Taiwan,Zone Asia,small-light,,<79,3.00 ,USD,
Macao(China),Zone Asia,small-light,,<79,3.00 ,USD,
Hong Kong,Zone Asia,small-light,,>79,0.00 ,USD,
Taiwan,Zone Asia,small-light,,>79,0.00 ,USD,
Macao(China),Zone Asia,small-light,,>79,0.00 ,USD,
Switzerland,Zone A-,no-free-ship,,<100,5.29 ,USD,
Puerto Rico,Zone A-,no-free-ship,,<100,7.65 ,USD,
Norway,Zone A-,no-free-ship,,<100,5.15 ,USD,
New Zealand,Zone A-,no-free-ship,,<100,6.03 ,USD,
Switzerland,Zone A-,no-free-ship,,<50,4.56 ,USD,
Puerto Rico,Zone A-,no-free-ship,,<50,6.76 ,USD,
Norway,Zone A-,no-free-ship,,<50,4.63 ,USD,
New Zealand,Zone A-,no-free-ship,,<50,5.59 ,USD,
New Zealand,Zone A-,small-light,,<69,15.00 ,USD,
Norway,Zone A-,small-light,,<69,15.00 ,USD,
Switzerland,Zone A-,small-light,,<69,15.00 ,USD,
Puerto Rico,Zone A-,small-light,,<69,15.00 ,USD,
New Zealand,Zone A-,small-light,,<129,8.00 ,USD,
Norway,Zone A-,small-light,,<129,8.00 ,USD,
Switzerland,Zone A-,small-light,,<129,8.00 ,USD,
Puerto Rico,Zone A-,small-light,,<129,8.00 ,USD,
New Zealand,Zone A-,small-light,,>129,0.00 ,USD,
Norway,Zone A-,small-light,,>129,0.00 ,USD,
Switzerland,Zone A-,small-light,,>129,0.00 ,USD,
Puerto Rico,Zone A-,small-light,,>129,0.00 ,USD,
Vietnam,Zone B1,no-free-ship,,<50,1.25 ,USD,
Uruguay,Zone B1,no-free-ship,,<50,2.79 ,USD,
UAE,Zone B1,no-free-ship,,<50,3.09 ,USD,
Turkey,Zone B1,no-free-ship,,<50,2.57 ,USD,
Thailand,Zone B1,no-free-ship,,<50,1.03 ,USD,
Serbia,Zone B1,no-free-ship,,<50,4.12 ,USD,
Saudi Arabia,Zone B1,no-free-ship,,<50,2.50 ,USD,
Qatar,Zone B1,no-free-ship,,<50,2.06 ,USD,
Poland,Zone B1,no-free-ship,,<50,2.43 ,USD,
Panama,Zone B1,no-free-ship,,<50,2.43 ,USD,
Oman,Zone B1,no-free-ship,,<50,2.35 ,USD,
Montenegro,Zone B1,no-free-ship,,<50,3.16 ,USD,
Mauritius,Zone B1,no-free-ship,,<50,4.04 ,USD,
Malaysia,Zone B1,no-free-ship,,<50,1.69 ,USD,
Kuwait,Zone B1,no-free-ship,,<50,2.13 ,USD,
Jordan,Zone B1,no-free-ship,,<50,2.13 ,USD,
Israel,Zone B1,no-free-ship,,<50,3.24 ,USD,
Georgia,Zone B1,no-free-ship,,<50,2.28 ,USD,
Costa Rica,Zone B1,no-free-ship,,<50,4.49 ,USD,
Bulgaria,Zone B1,no-free-ship,,<50,2.28 ,USD,
Bahrain,Zone B1,no-free-ship,,<50,2.06 ,USD,
Vietnam,Zone B1,no-free-ship,,<100,1.32 ,USD,
Uruguay,Zone B1,no-free-ship,,<100,3.97 ,USD,
UAE,Zone B1,no-free-ship,,<100,3.53 ,USD,
Turkey,Zone B1,no-free-ship,,<100,3.24 ,USD,
Thailand,Zone B1,no-free-ship,,<100,1.18 ,USD,
Serbia,Zone B1,no-free-ship,,<100,4.71 ,USD,
Saudi Arabia,Zone B1,no-free-ship,,<100,3.09 ,USD,
Qatar,Zone B1,no-free-ship,,<100,2.79 ,USD,
Poland,Zone B1,no-free-ship,,<100,2.94 ,USD,
Panama,Zone B1,no-free-ship,,<100,3.82 ,USD,
Oman,Zone B1,no-free-ship,,<100,2.94 ,USD,
Montenegro,Zone B1,no-free-ship,,<100,3.97 ,USD,
Mauritius,Zone B1,no-free-ship,,<100,4.71 ,USD,
Malaysia,Zone B1,no-free-ship,,<100,1.91 ,USD,
Kuwait,Zone B1,no-free-ship,,<100,3.24 ,USD,
Jordan,Zone B1,no-free-ship,,<100,3.24 ,USD,
Israel,Zone B1,no-free-ship,,<100,3.97 ,USD,
Georgia,Zone B1,no-free-ship,,<100,2.94 ,USD,
Costa Rica,Zone B1,no-free-ship,,<100,5.44 ,USD,
Bulgaria,Zone B1,no-free-ship,,<100,2.94 ,USD,
Bahrain,Zone B1,no-free-ship,,<100,3.09 ,USD,
Israel,Zone B1,small-light,,<69,19.00 ,USD,
Malaysia,Zone B1,small-light,,<69,19.00 ,USD,
Poland,Zone B1,small-light,,<69,19.00 ,USD,
Saudi Arabia,Zone B1,small-light,,<69,19.00 ,USD,
Thailand,Zone B1,small-light,,<69,19.00 ,USD,
Turkey,Zone B1,small-light,,<69,19.00 ,USD,
UAE,Zone B1,small-light,,<69,19.00 ,USD,
Vietnam,Zone B1,small-light,,<69,19.00 ,USD,
Bahrain,Zone B1,small-light,,<69,19.00 ,USD,
Bulgaria,Zone B1,small-light,,<69,19.00 ,USD,
Costa Rica,Zone B1,small-light,,<69,19.00 ,USD,
Georgia,Zone B1,small-light,,<69,19.00 ,USD,
Jordan,Zone B1,small-light,,<69,19.00 ,USD,
Mauritius,Zone B1,small-light,,<69,19.00 ,USD,
Montenegro,Zone B1,small-light,,<69,19.00 ,USD,
Oman,Zone B1,small-light,,<69,19.00 ,USD,
Panama,Zone B1,small-light,,<69,19.00 ,USD,
Qatar,Zone B1,small-light,,<69,19.00 ,USD,
Serbia,Zone B1,small-light,,<69,19.00 ,USD,
Uruguay,Zone B1,small-light,,<69,19.00 ,USD,
Kuwait,Zone B1,small-light,,<69,19.00 ,USD,
Israel,Zone B1,small-light,,<159,9.00 ,USD,
Malaysia,Zone B1,small-light,,<159,9.00 ,USD,
Poland,Zone B1,small-light,,<159,9.00 ,USD,
Saudi Arabia,Zone B1,small-light,,<159,9.00 ,USD,
Thailand,Zone B1,small-light,,<159,9.00 ,USD,
Turkey,Zone B1,small-light,,<159,9.00 ,USD,
UAE,Zone B1,small-light,,<159,9.00 ,USD,
Vietnam,Zone B1,small-light,,<159,9.00 ,USD,
Bahrain,Zone B1,small-light,,<159,9.00 ,USD,
Bulgaria,Zone B1,small-light,,<159,9.00 ,USD,
Costa Rica,Zone B1,small-light,,<159,9.00 ,USD,
Georgia,Zone B1,small-light,,<159,9.00 ,USD,
Jordan,Zone B1,small-light,,<159,9.00 ,USD,
Mauritius,Zone B1,small-light,,<159,9.00 ,USD,
Montenegro,Zone B1,small-light,,<159,9.00 ,USD,
Oman,Zone B1,small-light,,<159,9.00 ,USD,
Panama,Zone B1,small-light,,<159,9.00 ,USD,
Qatar,Zone B1,small-light,,<159,9.00 ,USD,
Serbia,Zone B1,small-light,,<159,9.00 ,USD,
Uruguay,Zone B1,small-light,,<159,9.00 ,USD,
Kuwait,Zone B1,small-light,,<159,9.00 ,USD,
Israel,Zone B1,small-light,,>159,0.00 ,USD,
Malaysia,Zone B1,small-light,,>159,0.00 ,USD,
Poland,Zone B1,small-light,,>159,0.00 ,USD,
Saudi Arabia,Zone B1,small-light,,>159,0.00 ,USD,
Thailand,Zone B1,small-light,,>159,0.00 ,USD,
Turkey,Zone B1,small-light,,>159,0.00 ,USD,
UAE,Zone B1,small-light,,>159,0.00 ,USD,
Vietnam,Zone B1,small-light,,>159,0.00 ,USD,
Bahrain,Zone B1,small-light,,>159,0.00 ,USD,
Bulgaria,Zone B1,small-light,,>159,0.00 ,USD,
Costa Rica,Zone B1,small-light,,>159,0.00 ,USD,
Georgia,Zone B1,small-light,,>159,0.00 ,USD,
Jordan,Zone B1,small-light,,>159,0.00 ,USD,
Mauritius,Zone B1,small-light,,>159,0.00 ,USD,
Montenegro,Zone B1,small-light,,>159,0.00 ,USD,
Oman,Zone B1,small-light,,>159,0.00 ,USD,
Panama,Zone B1,small-light,,>159,0.00 ,USD,
Qatar,Zone B1,small-light,,>159,0.00 ,USD,
Serbia,Zone B1,small-light,,>159,0.00 ,USD,
Uruguay,Zone B1,small-light,,>159,0.00 ,USD,
Kuwait,Zone B1,small-light,,>159,0.00 ,USD,
Uzbekistan,Zone B2,no-free-ship,,<50,2.79 ,USD,
Tunisia,Zone B2,no-free-ship,,<50,2.13 ,USD,
Tajikistan,Zone B2,no-free-ship,,<50,1.10 ,USD,
Suriname,Zone B2,no-free-ship,,<50,2.79 ,USD,
Sri Lanka,Zone B2,no-free-ship,,<50,3.53 ,USD,
Philippines,Zone B2,no-free-ship,,<50,1.62 ,USD,
Paraguay,Zone B2,no-free-ship,,<50,2.65 ,USD,
Nicaragua,Zone B2,no-free-ship,,<50,2.50 ,USD,
Nepal,Zone B2,no-free-ship,,<50,2.13 ,USD,
Myanmar,Zone B2,no-free-ship,,<50,1.84 ,USD,
Morocco,Zone B2,no-free-ship,,<50,2.43 ,USD,
Mongolia,Zone B2,no-free-ship,,<50,3.01 ,USD,
Moldova,Zone B2,no-free-ship,,<50,1.99 ,USD,
Maldives,Zone B2,no-free-ship,,<50,1.32 ,USD,
Macedonia,Zone B2,no-free-ship,,<50,2.21 ,USD,
Lebanon,Zone B2,no-free-ship,,<50,1.99 ,USD,
Laos,Zone B2,no-free-ship,,<50,2.65 ,USD,
Kyrgyzstan,Zone B2,no-free-ship,,<50,1.10 ,USD,
Kazakhstan,Zone B2,no-free-ship,,<50,1.18 ,USD,
Indonesia,Zone B2,no-free-ship,,<50,1.84 ,USD,
India,Zone B2,no-free-ship,,<50,2.43 ,USD,
Honduras,Zone B2,no-free-ship,,<50,2.72 ,USD,
Guatemala,Zone B2,no-free-ship,,<50,2.94 ,USD,
El Salvador,Zone B2,no-free-ship,,<50,2.50 ,USD,
Egypt,Zone B2,no-free-ship,,<50,2.35 ,USD,
Ecuador,Zone B2,no-free-ship,,<50,2.72 ,USD,
Dominican Republic,Zone B2,no-free-ship,,<50,2.43 ,USD,
Colombia,Zone B2,no-free-ship,,<50,2.87 ,USD,
Cambodia,Zone B2,no-free-ship,,<50,1.62 ,USD,
Brunei Darussalam,Zone B2,no-free-ship,,<50,2.57 ,USD,
Bosnia And Herzegovina,Zone B2,no-free-ship,,<50,3.82 ,USD,
Bolivia,Zone B2,no-free-ship,,<50,2.79 ,USD,
Belize,Zone B2,no-free-ship,,<50,2.72 ,USD,
Bangladesh,Zone B2,no-free-ship,,<50,2.06 ,USD,
Azerbaijan,Zone B2,no-free-ship,,<50,2.13 ,USD,
Armenia,Zone B2,no-free-ship,,<50,2.21 ,USD,
Albania,Zone B2,no-free-ship,,<50,2.06 ,USD,
Uzbekistan,Zone B2,no-free-ship,,<100,3.97 ,USD,
Tunisia,Zone B2,no-free-ship,,<100,3.24 ,USD,
Tajikistan,Zone B2,no-free-ship,,<100,1.32 ,USD,
Suriname,Zone B2,no-free-ship,,<100,4.41 ,USD,
Sri Lanka,Zone B2,no-free-ship,,<100,4.12 ,USD,
Philippines,Zone B2,no-free-ship,,<100,2.06 ,USD,
Paraguay,Zone B2,no-free-ship,,<100,4.26 ,USD,
Nicaragua,Zone B2,no-free-ship,,<100,3.97 ,USD,
Nepal,Zone B2,no-free-ship,,<100,3.24 ,USD,
Myanmar,Zone B2,no-free-ship,,<100,2.35 ,USD,
Morocco,Zone B2,no-free-ship,,<100,3.24 ,USD,
Mongolia,Zone B2,no-free-ship,,<100,3.09 ,USD,
Moldova,Zone B2,no-free-ship,,<100,3.09 ,USD,
Maldives,Zone B2,no-free-ship,,<100,1.76 ,USD,
Macedonia,Zone B2,no-free-ship,,<100,3.53 ,USD,
Lebanon,Zone B2,no-free-ship,,<100,3.09 ,USD,
Laos,Zone B2,no-free-ship,,<100,3.38 ,USD,
Kyrgyzstan,Zone B2,no-free-ship,,<100,1.32 ,USD,
Kazakhstan,Zone B2,no-free-ship,,<100,1.47 ,USD,
Indonesia,Zone B2,no-free-ship,,<100,2.35 ,USD,
India,Zone B2,no-free-ship,,<100,3.09 ,USD,
Honduras,Zone B2,no-free-ship,,<100,4.26 ,USD,
Guatemala,Zone B2,no-free-ship,,<100,4.85 ,USD,
El Salvador,Zone B2,no-free-ship,,<100,3.97 ,USD,
Egypt,Zone B2,no-free-ship,,<100,2.94 ,USD,
Ecuador,Zone B2,no-free-ship,,<100,4.41 ,USD,
Dominican Republic,Zone B2,no-free-ship,,<100,3.82 ,USD,
Colombia,Zone B2,no-free-ship,,<100,3.82 ,USD,
Cambodia,Zone B2,no-free-ship,,<100,1.76 ,USD,
Brunei Darussalam,Zone B2,no-free-ship,,<100,2.94 ,USD,
Bosnia And Herzegovina,Zone B2,no-free-ship,,<100,4.71 ,USD,
Bolivia,Zone B2,no-free-ship,,<100,4.41 ,USD,
Belize,Zone B2,no-free-ship,,<100,4.26 ,USD,
Bangladesh,Zone B2,no-free-ship,,<100,3.09 ,USD,
Azerbaijan,Zone B2,no-free-ship,,<100,3.24 ,USD,
Armenia,Zone B2,no-free-ship,,<100,3.53 ,USD,
Albania,Zone B2,no-free-ship,,<100,3.24 ,USD,
Indonesia,Zone B2,small-light,,<99,25.00 ,USD,
Albania,Zone B2,small-light,,<99,25.00 ,USD,
Armenia,Zone B2,small-light,,<99,25.00 ,USD,
Azerbaijan,Zone B2,small-light,,<99,25.00 ,USD,
Bangladesh,Zone B2,small-light,,<99,25.00 ,USD,
Belize,Zone B2,small-light,,<99,25.00 ,USD,
Bolivia,Zone B2,small-light,,<99,25.00 ,USD,
Bosnia And Herzegovina,Zone B2,small-light,,<99,25.00 ,USD,
Brunei Darussalam,Zone B2,small-light,,<99,25.00 ,USD,
Cambodia,Zone B2,small-light,,<99,25.00 ,USD,
Colombia,Zone B2,small-light,,<99,25.00 ,USD,
Dominican Republic,Zone B2,small-light,,<99,25.00 ,USD,
Ecuador,Zone B2,small-light,,<99,25.00 ,USD,
Egypt,Zone B2,small-light,,<99,25.00 ,USD,
El Salvador,Zone B2,small-light,,<99,25.00 ,USD,
Guatemala,Zone B2,small-light,,<99,25.00 ,USD,
Honduras,Zone B2,small-light,,<99,25.00 ,USD,
India,Zone B2,small-light,,<99,25.00 ,USD,
Kazakhstan,Zone B2,small-light,,<99,25.00 ,USD,
Kyrgyzstan,Zone B2,small-light,,<99,25.00 ,USD,
Laos,Zone B2,small-light,,<99,25.00 ,USD,
Lebanon,Zone B2,small-light,,<99,25.00 ,USD,
Macedonia,Zone B2,small-light,,<99,25.00 ,USD,
Maldives,Zone B2,small-light,,<99,25.00 ,USD,
Moldova,Zone B2,small-light,,<99,25.00 ,USD,
Mongolia,Zone B2,small-light,,<99,25.00 ,USD,
Morocco,Zone B2,small-light,,<99,25.00 ,USD,
Myanmar,Zone B2,small-light,,<99,25.00 ,USD,
Nepal,Zone B2,small-light,,<99,25.00 ,USD,
Nicaragua,Zone B2,small-light,,<99,25.00 ,USD,
Paraguay,Zone B2,small-light,,<99,25.00 ,USD,
Philippines,Zone B2,small-light,,<99,25.00 ,USD,
Sri Lanka,Zone B2,small-light,,<99,25.00 ,USD,
Suriname,Zone B2,small-light,,<99,25.00 ,USD,
Tajikistan,Zone B2,small-light,,<99,25.00 ,USD,
Tunisia,Zone B2,small-light,,<99,25.00 ,USD,
Uzbekistan,Zone B2,small-light,,<99,25.00 ,USD,
Indonesia,Zone B2,small-light,,<199,15.00 ,USD,
Albania,Zone B2,small-light,,<199,15.00 ,USD,
Armenia,Zone B2,small-light,,<199,15.00 ,USD,
Azerbaijan,Zone B2,small-light,,<199,15.00 ,USD,
Bangladesh,Zone B2,small-light,,<199,15.00 ,USD,
Belize,Zone B2,small-light,,<199,15.00 ,USD,
Bolivia,Zone B2,small-light,,<199,15.00 ,USD,
Bosnia And Herzegovina,Zone B2,small-light,,<199,15.00 ,USD,
Brunei Darussalam,Zone B2,small-light,,<199,15.00 ,USD,
Cambodia,Zone B2,small-light,,<199,15.00 ,USD,
Colombia,Zone B2,small-light,,<199,15.00 ,USD,
Dominican Republic,Zone B2,small-light,,<199,15.00 ,USD,
Ecuador,Zone B2,small-light,,<199,15.00 ,USD,
Egypt,Zone B2,small-light,,<199,15.00 ,USD,
El Salvador,Zone B2,small-light,,<199,15.00 ,USD,
Guatemala,Zone B2,small-light,,<199,15.00 ,USD,
Honduras,Zone B2,small-light,,<199,15.00 ,USD,
India,Zone B2,small-light,,<199,15.00 ,USD,
Kazakhstan,Zone B2,small-light,,<199,15.00 ,USD,
Kyrgyzstan,Zone B2,small-light,,<199,15.00 ,USD,
Laos,Zone B2,small-light,,<199,15.00 ,USD,
Lebanon,Zone B2,small-light,,<199,15.00 ,USD,
Macedonia,Zone B2,small-light,,<199,15.00 ,USD,
Maldives,Zone B2,small-light,,<199,15.00 ,USD,
Moldova,Zone B2,small-light,,<199,15.00 ,USD,
Mongolia,Zone B2,small-light,,<199,15.00 ,USD,
Morocco,Zone B2,small-light,,<199,15.00 ,USD,
Myanmar,Zone B2,small-light,,<199,15.00 ,USD,
Nepal,Zone B2,small-light,,<199,15.00 ,USD,
Nicaragua,Zone B2,small-light,,<199,15.00 ,USD,
Paraguay,Zone B2,small-light,,<199,15.00 ,USD,
Philippines,Zone B2,small-light,,<199,15.00 ,USD,
Sri Lanka,Zone B2,small-light,,<199,15.00 ,USD,
Suriname,Zone B2,small-light,,<199,15.00 ,USD,
Tajikistan,Zone B2,small-light,,<199,15.00 ,USD,
Tunisia,Zone B2,small-light,,<199,15.00 ,USD,
